;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;139;87698;4025;25;3,3381364073006723;95,59241241960234;84,7560975609756;95,61178766503494;90,02045324989751;6,423290203327172
pca-full;133;90243;1478;31;8,255741775294847;98,35772977090929;81,09756097560975;98,3885914894081;89,32566707065014;14,985915492957744
mlp-1camadas-retro;128;87299;4424;36;2,81195079086116;95,14621219541394;78,04878048780488;95,17678226835145;86,18835064437746;5,42832909245123
mlp-1camadas-full;118;89552;2169;46;5,159597726278968;97,58937802688143;71,95121951219512;97,63521985150619;83,81511281181427;9,628722970216238
mlp-3camadas-retro;124;89448;2275;40;5,168820341809087;97,4806011731801;75,60975609756098;97,51970607154149;85,86874396877532;9,676160749122124
mlp-3camadas-full;114;90946;775;50;12,823397075365579;99,10213854274365;69,51219512195122;99,15504628165851;83,02099086650767;21,65242165242165
oc-svm-retro;55;65743;25980;109;0,21125408104474747;71,60751792963096;33,53658536585366;71,67558845654852;49,028098993544866;0,4198633535631131
oc-svm-full;32;73671;18050;132;0,17697157394093574;80,21222179898787;19,51219512195122;80,32075533411106;39,5883095170996;0,3507618108078483
if-retro;50;3360;88363;114;0,056552769389116984;3,711079913371859;30,48780487804878;3,66320334049257;10,568019146157617;0,1128961242760536
if-full;36;5679;86042;128;0,04182253305141848;6,219731185721282;21,951219512195124;6,191602795433979;11,658183052898606;0,08348600449896802
ensemble-retro;130;87138;4585;34;2,757158006362672;94,97317357188722;79,26829268292683;95,00125377495284;86,77895591373503;5,3289608526337355
ensemble-full;118;89563;2158;46;5,184534270650263;97,60134951297817;71,95121951219512;97,64721274299234;83,82026031231983;9,672131147540984
